user_id,user_name,screen_name,followers_count,description,verified,profile_image_default,protected,favourites_count,user_registration,bot,botoscore
169635024,b'Belton School District #124',BeltonSchools,3410,1,0,0,0,8358,22-07-2010,0,1.4
246967511,b'Nicky Jam',NickyJamPR,4027776,1,0,0,0,361,03-02-2011,0,1.3
26242268,b'Jay Elizabeth',jamie25e,4,1,0,0,0,18,24-03-2009,0,2.7
421031135,b'JanLeonardo',JanLeonardo,3626,1,0,0,0,99,25-11-2011,0,3.1
2343070944,b'Gian \xf0\x9f\x8e\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xb4\xf0\x9f\x8e\x84',VGATWOfficial,176,1,0,0,0,5817,14-02-2014,0,0.0
772404968087314432,b'Nia Hoeg',hoeg_nia,3,1,0,0,0,65,04-09-2016,0,1.5
705137543944265728,b'Art',CynagaYT,200,1,0,0,0,2249,02-03-2016,1,0.4
15494380,b'Barbara Gancia',barbaragancia,531017,1,0,0,0,41603,19-07-2008,0,1.0
1230056833,b'alessandra notari',notari_ale,13,0,0,0,0,599,01-03-2013,1,3.8
213675253,b'Highlight \xec\x86\x90\xeb\x8f\x99\xec\x9a\xb4',beastdw,1322359,1,0,0,0,0,09-11-2010,0,1.4
765941562417242112,b'Blair Mcmillan',epifaniiavdeev5,10,1,0,0,0,1223,17-08-2016,1,4.4
65563900,b'Herbert R. Sim',HerbertRSim,170955,1,0,0,0,19887,14-08-2009,0,3.2
28601605,b'Gino Torretta',GinoTorretta,9319,1,0,0,0,6761,03-04-2009,0,0.2
95710470,b'\xf0\x9f\xa7\x99\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',snarkondeck,107,1,0,0,0,3887,09-12-2009,0,err
99642673,b'taran adarsh',taran_adarsh,3788801,1,0,0,0,152,27-12-2009,0,3.1
14445875,b'Roberto Tomasi',robytomasi,122,0,0,0,0,6014,19-04-2008,1,2.4
23620920,b'Jennifer Stone',jenniferstone,1023930,1,0,0,0,3801,10-03-2009,0,0.8
17853760,b'rob corddry',robcorddry,1242440,1,0,0,0,845,04-12-2008,0,0.2
365456712,b'Zaxby\xe2\x80\x99s',Zaxbys,101401,1,0,0,0,25069,31-08-2011,0,0.6
15756626,b'FargoneMyth',MasterAyaka,19,0,0,0,0,1933,06-08-2008,0,1.0
34630995,b'Warren Sapp',WarrenSapp,1041398,1,0,0,0,68,23-04-2009,0,1.2
869559654,b'anas \xf0\x9f\x87\xb2\xf0\x9f\x87\xbe',AnasSukeri,794,1,0,0,0,2369,09-10-2012,0,err
251686253,b'Anika Noni Rose',AnikaNoniRose,136167,1,0,0,0,24370,13-02-2011,0,0.5
3299372399,b'BoggleBot',Botgle,1801,1,0,0,0,85611,26-05-2015,1,4.7
113536371,b'marahoffman',marahoffman,10428,1,0,0,0,1058,12-02-2010,0,0.2
28601729,b'BISMA KARISMA',bismakarisma,1608793,1,0,0,0,170,03-04-2009,0,0.8
40398210,b'Sue M.',batchild100,878,0,0,0,0,1026,16-05-2009,1,0.8
267677068,b'Beverly Gilson',MISFROGD,31,1,0,0,0,281,17-03-2011,1,5.0
132148641,b'Billy Taylor',Bjtjr24,8,0,0,0,0,796,12-04-2010,1,3.4
1670933924,b'Chip Gibbons',GibbonsChip,2792,1,0,0,0,584,14-08-2013,0,0.2
121400761,b'Thomas Sotto',ThomasSotto,433076,1,0,0,0,954,09-03-2010,0,1.9
1162898881,b'Chris Pickering',chrispickering9,23,1,0,0,0,2057,09-02-2013,1,3.6
1934388686,b'Shefali Vaidya. \xf0\x9f\x87\xae\xf0\x9f\x87\xb3',ShefVaidya,612593,1,0,0,0,66006,04-10-2013,0,0.2
341863906,b'Patria Digital',PatriaDigital,928,1,0,0,0,4,25-07-2011,1,5.0
263482855,b'Tj :D',King__Tj,162,1,0,0,0,1420,10-03-2011,0,3.2
